No,Company,Symbol,Weight,Price,Chg,% Chg
179,Travelers Companies (The),TRV,0.1%,269.88999999999999,0.79000000000000004,-0.3%
180,Marathon Petroleum,MPC,0.1%,196.22,0.26000000000000001,-0.1%
181,Freeport-McMoRan,FCX,0.1%,41.369999999999997,0.14000000000000001,-0.3%
182,Simon Property Group,SPG,0.1%,178.09,-0.62,-0.4%
183,United Rentals,URI,0.1%,913.33000000000004,-0.96999999999999997,-0.1%
184,EOG Resources,EOG,0.1%,106.38,-1.7,-1.6%
185,Cummins,CMI,0.1%,421.44999999999999,3.71,-0.9%
186,Axon Enterprise,AXON,0.1%,735.95000000000005,19.559999999999999,-2.7%
187,Kinder Morgan,KMI,0.1%,25.859999999999999,-0.39000000000000001,-1.5%
188,Aflac,AFL,0.1%,107.18000000000001,-0.37,-0.3%
189,FedEx,FDX,0.1%,241.15000000000001,2.98,-1.2%
190,Air Products,APD,0.1%,254.91,-0.02000,-0.0%
191,Truist Financial,TFC,0.1%,44.189999999999998,0.57999999999999996,-1.3%
192,NXP Semiconductors,NXPI,0.1%,219.16,-1.5700000000000001,-0.7%
193,Chipotle Mexican Grill,CMG,0.1%,41.189999999999998,-0.60999999999999999,-1.5%
194,Ford Motor Company,F,0.1%,13.84,1.5,-12.2%
195,L3Harris,LHX,0.1%,293.19999999999999,-0.080000000000000001665,-0.0%
196,Realty Income,O,0.1%,59.990000000000002,-0.23000000000000001,-0.4%
197,Datadog,DDOG,0.1%,156.47,-0.12,-0.1%
198,Phillips 66,PSX,0.1%,134.97999999999999,-0.82999999999999996,-0.6%
199,Schlumberger,SLB,0.1%,35.829999999999998,-0.17999999999999999,-0.5%
200,Becton Dickinson,BDX,0.1%,185.83000000000001,-0.69999999999999996,-0.4%
201,Valero Energy,VLO,0.1%,171.05000000000001,-2.0800000000000001,-1.2%
202,Public Storage,PSA,0.1%,302.24000000000001,-4.04,-1.3%
203,Paccar,PCAR,0.1%,100.13,0.75,-0.8%
204,Warner Bros. Discovery,WBD,0.1%,21.149999999999999,-0.10000000000000001,-0.5%
205,MetLife,MET,0.1%,78.680000000000007,0.51000000000000001,-0.7%
206,Dominion Energy,D,0.1%,61.060000000000002,0.38,-0.6%
207,Roper Technologies,ROP,0.1%,478.80000000000001,-1.1599999999999999,-0.2%
208,Monolithic Power Systems,MPWR,0.1%,1074.91,4.1100000000000003,-0.4%
209,Idexx Laboratories,IDXX,0.1%,640.85000000000002,2.25,-0.4%
210,Ross Stores,ROST,0.1%,156.75,0.08999999999999999667,-0.1%
211,Allstate,ALL,0.1%,193.19,-1.27,-0.7%
212,"Nasdaq, Inc.",NDAQ,0.1%,88.439999999999998,-0.38,-0.4%
213,Electronic Arts,EA,0.1%,200.84,0.22,-0.1%
214,Seagate Technology,STX,0.1%,234.12,7.71,-3.4%
215,Carrier Global,CARR,0.1%,57.840000000000003,0.71999999999999997,-1.3%
216,Fastenal,FAST,0.1%,42.869999999999997,-0.12,-0.3%
217,Exelon,EXC,0.1%,48.039999999999999,0.42999999999999999,-0.9%
218,CBRE Group,CBRE,0.1%,162.96000000000001,-1.24,-0.8%
219,"Block, Inc.",XYZ,0.1%,79.540000000000006,0.97999999999999998,-1.2%
220,Garmin,GRMN,0.1%,250.44999999999999,0.28000000000000003,-0.1%
221,Xcel Energy,XEL,0.1%,80.390000000000001,-0.02000,-0.0%
222,D. R. Horton,DHI,0.1%,157.94999999999999,-0.59999999999999998,-0.4%
223,Take-Two Interactive,TTWO,0.1%,255.12,0.58999999999999997,-0.2%
224,Baker Hughes,BKR,0.1%,47.299999999999997,-1.5900000000000001,-3.2%
225,W. W. Grainger,GWW,0.1%,968.40999999999997,4.3399999999999999,-0.4%
226,Ameriprise Financial,AMP,0.1%,479.18000000000001,1.03,-0.2%
227,Paychex,PAYX,0.1%,124.59999999999999,-0.14999999999999999,-0.1%
228,Edwards Lifesciences,EW,0.1%,76.099999999999994,-0.42999999999999999,-0.6%
229,Kroger,KR,0.1%,67.109999999999999,-1.55,-2.3%
230,eBay,EBAY,0.1%,97.200000000000003,1.6799999999999999,-1.8%
231,Western Digital,WDC,0.1%,129.43000000000001,3.71,-2.9%
232,American International Group,AIG,0.1%,79,0.14999999999999999,-0.2%
233,Corteva,CTVA,0.1%,63.659999999999997,0.17999999999999999,-0.3%
234,Ametek,AME,0.1%,187.13999999999999,-2.0600000000000001,-1.1%
235,Copart,CPRT,0.1%,44.659999999999997,-0.01000,-0.0%
236,ONEOK,OKE,0.1%,68.609999999999999,-1.1499999999999999,-1.7%
237,Entergy,ETR,0.1%,96.579999999999998,0.91000000000000003,-0.9%
238,Crown Castle,CCI,0.1%,98.489999999999995,0.22,-0.2%
239,Target Corporation,TGT,0.1%,94.260000000000005,0.01000,-0.0%
240,Diamondback Energy,FANG,0.1%,145.86000000000001,-1.3100000000000001,-0.9%
241,Agilent Technologies,A,0.1%,148.03,0.56999999999999995,-0.4%
